localite,annee,mois,dni
gin_beyla,2017,10,5.5296
gin_beyla,2017,11,4.7544
gin_beyla,2017,12,5.0133
gin_beyla,2018,1,5.2229
gin_beyla,2018,2,4.4033
gin_beyla,2018,3,4.8519
gin_beyla,2018,4,3.3751
gin_beyla,2018,5,4.3098
gin_beyla,2018,6,4.0336
gin_beyla,2018,7,3.5844
gin_beyla,2018,8,3.2869
gin_beyla,2018,9,4.3232
gin_beyla,2018,10,5.2745
gin_beyla,2018,11,4.7366
gin_beyla,2018,12,6.7532
gin_beyla,2019,1,6.8913
gin_beyla,2019,2,5.2534
gin_beyla,2019,3,3.8893
gin_beyla,2019,4,3.2417
gin_beyla,2019,5,4.452
gin_beyla,2019,6,4.336
gin_beyla,2019,7,3.6254
gin_beyla,2019,8,3.6039
gin_beyla,2019,9,3.6156
gin_beyla,2019,10,4.7703
gin_beyla,2019,11,6.0972
gin_beyla,2019,12,7.1335
gin_beyla,2020,1,5.7466
gin_beyla,2020,2,5.6331
gin_beyla,2020,3,3.3629
gin_beyla,2020,4,3.8342
gin_beyla,2020,5,4.3583
gin_beyla,2020,6,4.6775
gin_beyla,2020,7,3.529
gin_beyla,2020,8,3.434
gin_beyla,2020,9,4.1675
gin_beyla,2020,10,5.6083
gin_beyla,2020,11,6.3621
gin_beyla,2020,12,5.9964
gin_beyla,2021,1,6.4269
gin_beyla,2021,2,5.2414
gin_beyla,2021,3,3.9989
gin_beyla,2021,4,4.2309
gin_beyla,2021,5,4.5724
gin_beyla,2021,6,4.6719
gin_beyla,2021,7,3.5057
gin_beyla,2021,8,3.5285
gin_beyla,2021,9,4.1418
gin_beyla,2021,10,5.5345
gin_beyla,2021,11,6.2874
gin_beyla,2021,12,5.6845
gin_beyla,2022,1,6.5798
gin_beyla,2022,2,5.7449
gin_beyla,2022,3,4.1095
gin_beyla,2022,4,4.1469
gin_beyla,2022,5,3.9644
gin_beyla,2022,6,4.356
gin_beyla,2022,7,3.6409
gin_beyla,2022,8,3.9085
gin_beyla,2022,9,4.272
gin_beyla,2022,10,4.4985
gin_beyla,2022,11,5.4413
gin_beyla,2022,12,5.9698
gin_beyla,2023,1,6.1992
gin_beyla,2023,2,4.9063
gin_beyla,2023,3,4.4474
gin_beyla,2023,4,4.3731
gin_beyla,2023,5,4.0946
gin_beyla,2023,6,3.649
gin_beyla,2023,7,4.0014
gin_beyla,2023,8,3.4588
gin_beyla,2023,9,4.5785
gin_beyla,2023,10,3.9597
gin_beyla,2023,11,4.8447
gin_beyla,2023,12,6.3606
gin_boffa,2004,2,4.167
gin_boffa,2004,3,3.5308
gin_boffa,2004,4,2.9339
gin_boffa,2004,5,3.2233
gin_boffa,2004,6,3.3097
gin_boffa,2004,7,3.1844
gin_boffa,2004,8,3.3631
gin_boffa,2004,9,3.9544
gin_boffa,2004,10,4.626
gin_boffa,2004,11,5.0451
gin_boffa,2004,12,4.4463
gin_boffa,2005,1,4.0568
gin_boffa,2005,2,4.1912
gin_boffa,2005,3,4.8726
gin_boffa,2005,4,3.3377
gin_boffa,2005,5,3.2019
gin_boffa,2005,6,2.5655
gin_boffa,2005,7,3.2978
gin_boffa,2005,8,2.2476
gin_boffa,2005,9,4.2525
gin_boffa,2005,10,4.1167
gin_boffa,2005,11,4.4658
gin_boffa,2005,12,4.9461
gin_boffa,2006,1,5.2939
gin_boffa,2006,2,5.5363
gin_boffa,2006,3,4.5502
gin_boffa,2006,4,3.4895
gin_boffa,2006,5,3.1801
gin_boffa,2006,6,3.0881
gin_boffa,2006,7,3.298
gin_boffa,2006,8,2.2868
gin_boffa,2006,9,3.6246
gin_boffa,2006,10,3.8964
gin_boffa,2006,11,5.6234
gin_boffa,2006,12,5.3484
gin_boffa,2007,1,4.2929
gin_boffa,2007,2,5.2628
gin_boffa,2007,3,4.2681
gin_boffa,2007,4,3.4956
gin_boffa,2007,5,2.6549
gin_boffa,2007,6,3.1588
gin_boffa,2007,7,2.4115
gin_boffa,2007,8,2.0984
gin_boffa,2007,9,3.3965
gin_boffa,2007,10,4.5821
gin_boffa,2007,11,4.5121
gin_boffa,2007,12,5.9448
gin_boffa,2008,1,5.2191
gin_boffa,2008,2,4.6203
gin_boffa,2008,3,4.6134
gin_boffa,2008,4,3.098
gin_boffa,2008,5,2.6314
gin_boffa,2008,6,3.3083
gin_boffa,2008,7,3.4387
gin_boffa,2008,8,2.3674
gin_boffa,2008,9,3.7405
gin_boffa,2008,10,3.8272
gin_boffa,2008,11,4.9567
gin_boffa,2008,12,4.8714
gin_boffa,2009,1,5.0329
gin_boffa,2009,2,5.1125
gin_boffa,2009,3,5.101
gin_boffa,2009,4,3.2445
gin_boffa,2009,5,3.467
gin_boffa,2009,6,3.2828
gin_boffa,2009,7,3.2171
gin_boffa,2009,8,2.4211
gin_boffa,2009,9,3.0397
gin_boffa,2009,10,4.1627
gin_boffa,2009,11,4.4078
gin_boffa,2009,12,4.9006
gin_boffa,2010,1,5.5395
gin_boffa,2010,2,5.3079
gin_boffa,2010,3,3.9259
gin_boffa,2010,4,3.2098
gin_boffa,2010,5,2.2817
gin_boffa,2010,6,3.3918
gin_boffa,2010,7,2.3869
gin_boffa,2010,8,2.3612
gin_boffa,2010,9,3.2861
gin_boffa,2010,10,3.969
gin_boffa,2010,11,5.1421
gin_boffa,2010,12,5.0535
gin_boffa,2011,1,4.2644
gin_boffa,2011,2,5.6863
gin_boffa,2011,3,5.1109
gin_boffa,2011,4,3.3367
gin_boffa,2011,5,3.0574
gin_boffa,2011,6,2.8082
gin_boffa,2011,7,2.6115
gin_boffa,2011,8,2.4368
gin_boffa,2011,9,3.8212
gin_boffa,2011,10,3.85
gin_boffa,2011,11,5.2524
gin_boffa,2011,12,5.1603
gin_boffa,2012,1,5.2872
gin_boffa,2012,2,3.975
gin_boffa,2012,3,3.3858
gin_boffa,2012,4,3.555
gin_boffa,2012,5,2.8724
gin_boffa,2012,6,3.056
gin_boffa,2012,7,2.2891
gin_boffa,2012,8,2.474
gin_boffa,2012,9,3.7801
gin_boffa,2012,10,4.1852
gin_boffa,2012,11,4.5623
gin_boffa,2012,12,5.0981
gin_boffa,2013,1,5.0883
gin_boffa,2013,2,5.7543
gin_boffa,2013,3,6.2178
gin_boffa,2013,4,4.4829
gin_boffa,2013,5,3.425
gin_boffa,2013,6,3.2754
gin_boffa,2013,7,2.6195
gin_boffa,2013,8,1.9197
gin_boffa,2013,9,3.4162
gin_boffa,2013,10,4.1998
gin_boffa,2013,11,4.7589
gin_boffa,2013,12,5.5528
gin_boffa,2014,1,5.6163
gin_boffa,2014,2,5.2302
gin_boffa,2014,3,5.4914
gin_boffa,2014,4,4.4345
gin_boffa,2014,5,3.2105
gin_boffa,2014,6,3.522
gin_boffa,2014,7,3.2981
gin_boffa,2014,8,2.3584
gin_boffa,2014,9,3.4599
gin_boffa,2014,10,3.845
gin_boffa,2014,11,4.1844
gin_boffa,2014,12,4.0862
gin_boffa,2015,1,3.955
gin_boffa,2015,2,5.7569
gin_boffa,2015,3,4.2188
gin_boffa,2015,4,3.3263
gin_boffa,2015,5,2.7134
gin_boffa,2015,6,2.9943
gin_boffa,2015,7,2.9775
gin_boffa,2015,8,2.6753
gin_boffa,2015,9,3.5147
gin_boffa,2015,10,4.2001
gin_boffa,2015,11,4.6035
gin_boffa,2015,12,3.4912
gin_boffa,2016,1,4.2505
gin_boffa,2016,2,4.4256
gin_boffa,2016,3,5.3426
gin_boffa,2016,4,3.7991
