localite,date,ghi,dni,dhi,kt,albedo,t2m,rh2m,vent_2m,vent_10m,precipitation
gin_beyla,1981-01-01,,,,,,18.09,61.66,2.72,4.39,0.0
gin_beyla,1981-01-02,,,,,,17.79,60.01,2.67,4.39,0.0
gin_beyla,1981-01-03,,,,,,17.93,58.5,2.09,3.6,0.0
gin_beyla,1981-01-04,,,,,,18.14,58.71,1.91,3.36,0.0
gin_beyla,1981-01-05,,,,,,18.7,60.72,2.08,3.63,0.0
gin_beyla,1981-01-06,,,,,,19.3,61.95,1.93,3.37,0.0
gin_beyla,1981-01-07,,,,,,19.54,61.64,1.52,2.73,0.0
gin_beyla,1981-01-08,,,,,,19.59,58.89,1.87,3.28,0.0
gin_beyla,1981-01-09,,,,,,19.82,58.44,1.66,2.98,0.0
gin_beyla,1981-01-10,,,,,,19.78,55.47,1.86,3.25,0.0
gin_beyla,1981-01-11,,,,,,22.11,52.5,1.05,1.6,0.0
gin_beyla,1981-01-12,,,,,,23.05,63.57,0.98,1.5,0.0
gin_beyla,1981-01-13,,,,,,23.04,69.81,1.0,1.52,1.57
gin_beyla,1981-01-14,,,,,,22.26,73.45,1.8,2.86,2.75
gin_beyla,1981-01-15,,,,,,20.11,71.22,2.72,4.39,0.0
gin_beyla,1981-01-16,,,,,,19.35,66.07,2.37,3.93,0.0
gin_beyla,1981-01-17,,,,,,18.95,57.53,2.62,4.34,0.0
gin_beyla,1981-01-18,,,,,,18.9,53.49,2.16,3.72,0.0
gin_beyla,1981-01-19,,,,,,19.51,52.6,1.97,3.46,0.0
gin_beyla,1981-01-20,,,,,,19.81,54.87,2.0,3.43,0.0
gin_beyla,1981-01-21,,,,,,21.48,60.12,1.55,2.49,0.0
gin_beyla,1981-01-22,,,,,,20.76,53.11,1.98,3.29,0.0
gin_beyla,1981-01-23,,,,,,21.87,58.79,1.21,2.0,0.03
gin_beyla,1981-01-24,,,,,,19.95,50.84,2.13,3.65,0.0
gin_beyla,1981-01-25,,,,,,19.02,53.11,2.43,4.0,0.0
gin_beyla,1981-01-26,,,,,,19.15,50.97,2.05,3.35,0.0
gin_beyla,1981-01-27,,,,,,20.63,54.77,1.86,3.08,0.0
gin_beyla,1981-01-28,,,,,,20.41,55.09,2.61,4.26,0.0
gin_beyla,1981-01-29,,,,,,20.26,51.05,2.35,3.98,0.0
gin_beyla,1981-01-30,,,,,,20.75,48.65,1.97,3.26,0.0
gin_beyla,1981-01-31,,,,,,22.97,53.85,1.31,1.95,0.0
gin_beyla,1981-02-01,,,,,,23.31,58.9,1.32,2.04,0.0
gin_beyla,1981-02-02,,,,,,23.6,64.48,1.03,1.63,0.0
gin_beyla,1981-02-03,,,,,,23.0,75.33,1.07,1.77,0.0
gin_beyla,1981-02-04,,,,,,24.01,62.87,0.98,1.5,0.01
gin_beyla,1981-02-05,,,,,,23.68,70.61,1.22,2.02,1.4
gin_beyla,1981-02-06,,,,,,23.92,75.77,1.33,2.16,1.27
