localite,annee,mois,ghi,dni,dhi,kt,albedo,t2m,rh2m,vent_2m,vent_10m
gin_beyla,1996,8,4.9214,,4.2245,,,22.13,88.42,2.02,3.11
gin_beyla,1996,9,5.2123,,4.5766,,,22.53,86.79,1.65,2.55
gin_beyla,1996,10,5.6263,,3.6329,,,23.45,80.19,1.43,2.33
gin_beyla,1996,11,5.4564,,3.0797,,,24.15,62.03,1.27,2.09
gin_beyla,1996,12,5.3777,,2.4101,,,23.8,56.29,1.34,2.16
gin_beyla,1997,1,5.3695,,2.4014,,,24.32,55.69,1.61,2.56
gin_beyla,1997,2,5.9594,,2.7742,,,25.34,29.36,1.9,3.07
gin_beyla,1997,3,5.6734,,3.3228,,,26.03,53.44,1.66,2.58
gin_beyla,1997,4,5.3112,,3.7572,,,24.29,81.6,1.47,2.28
gin_beyla,1997,5,5.5272,,4.0066,,,24.14,83.53,1.35,2.15
gin_beyla,1997,6,4.77,,4.3171,,,23.15,86.07,1.55,2.41
gin_beyla,1997,7,4.7474,,4.3392,,,22.24,87.35,2.0,3.05
gin_beyla,1997,8,4.8336,,4.4501,,,22.13,89.23,1.84,2.84
gin_beyla,1997,9,5.2135,,4.3138,,,22.64,89.08,1.46,2.31
gin_beyla,1997,10,5.3659,,3.9444,,,23.1,87.51,1.31,2.12
gin_beyla,1997,11,5.2711,,3.2414,,,23.07,78.19,1.18,1.95
gin_beyla,1997,12,5.1336,,2.567,,,21.72,63.11,1.4,2.32
gin_beyla,1998,1,5.437,,2.2783,,,21.61,52.91,1.81,2.99
gin_beyla,1998,2,5.5606,,3.0086,,,24.45,58.83,1.59,2.53
gin_beyla,1998,3,6.3372,,3.1318,,,25.64,58.51,1.61,2.54
gin_beyla,1998,4,5.5087,,3.3463,,,25.29,83.91,1.5,2.34
gin_beyla,1998,5,5.5663,,4.1623,,,24.62,86.94,1.38,2.2
gin_beyla,1998,6,5.1374,,4.1138,,,23.75,87.45,1.41,2.23
gin_beyla,1998,7,4.8756,,4.3992,,,22.57,89.71,1.83,2.82
gin_beyla,1998,8,4.7719,,4.3409,,,21.98,91.33,2.1,3.22
gin_beyla,1998,9,5.0172,,4.2374,,,22.28,91.27,1.82,2.84
gin_beyla,1998,10,5.298,,4.0694,,,23.36,86.99,1.26,2.05
gin_beyla,1998,11,5.369,,3.0454,,,22.42,80.11,1.41,2.35
gin_beyla,1998,12,4.8907,,2.6182,,,21.35,68.89,1.55,2.6
gin_beyla,1999,1,5.4898,,2.5385,,,21.29,64.07,1.88,3.09
gin_beyla,1999,2,5.7946,,2.8793,,,22.66,59.13,1.77,2.84
gin_beyla,1999,3,5.5198,,3.1248,,,24.65,72.86,1.49,2.33
