localite,date,ghi,dni
gin_kankan,2022-03-01,5.7542,4.1467
gin_kankan,2022-03-02,4.784,1.1624
gin_kankan,2022-03-03,5.7849,3.039
gin_kankan,2022-03-04,4.8817,1.0866
gin_kankan,2022-03-05,5.895,2.9563
gin_kankan,2022-03-06,6.2929,4.2413
gin_kankan,2022-03-07,6.5408,5.342
gin_kankan,2022-03-08,6.4575,4.7506
gin_kankan,2022-03-09,6.4878,4.9005
gin_kankan,2022-03-10,6.6145,5.4381
gin_kankan,2022-03-11,6.3926,5.0626
gin_kankan,2022-03-12,6.255,3.7722
gin_kankan,2022-03-13,5.5074,1.9553
gin_kankan,2022-03-14,6.1725,3.5371
gin_kankan,2022-03-15,5.2269,1.5949
gin_kankan,2022-03-16,4.7992,1.9029
gin_kankan,2022-03-17,5.8491,3.3522
gin_kankan,2022-03-18,6.1987,4.4147
gin_kankan,2022-03-19,6.773,5.1798
gin_kankan,2022-03-20,5.7275,2.6715
gin_kankan,2022-03-21,5.546,1.9173
gin_kankan,2022-03-22,3.4886,0.2672
gin_kankan,2022-03-23,5.9133,2.7105
gin_kankan,2022-03-24,5.7319,3.4629
gin_kankan,2022-03-25,4.3193,1.8014
gin_kankan,2022-03-26,6.2059,4.1987
gin_kankan,2022-03-27,5.0648,2.401
gin_kankan,2022-03-28,6.2133,3.4563
gin_kankan,2022-03-29,6.3548,3.8409
gin_kankan,2022-03-30,6.3297,3.6556
gin_kankan,2022-03-31,5.7342,3.3483
gin_kankan,2022-04-01,4.6092,0.9759
gin_kankan,2022-04-02,6.3757,4.057
gin_kankan,2022-04-03,4.4581,1.0891
gin_kankan,2022-04-04,6.3,3.9033
gin_kankan,2022-04-05,6.342,4.5216
gin_kankan,2022-04-06,4.6903,2.0294
gin_kankan,2022-04-07,6.0946,3.6568
gin_kankan,2022-04-08,6.4961,4.5206
gin_kankan,2022-04-09,6.0777,3.4008
gin_kankan,2022-04-10,5.6426,2.6157
gin_kankan,2022-04-11,5.6127,2.6387
gin_kankan,2022-04-12,4.617,1.4292
gin_kankan,2022-04-13,6.533,4.4061
gin_kankan,2022-04-14,6.5556,4.7119
gin_kankan,2022-04-15,6.2617,4.2632
gin_kankan,2022-04-16,6.3868,4.6798
gin_kankan,2022-04-17,6.7955,5.4137
gin_kankan,2022-04-18,6.2146,3.5026
gin_kankan,2022-04-19,6.8769,5.4867
gin_kankan,2022-04-20,4.7899,2.3521
gin_kankan,2022-04-21,6.5185,4.7471
gin_kankan,2022-04-22,5.8645,3.4578
gin_kankan,2022-04-23,6.074,4.3021
gin_kankan,2022-04-24,6.4246,4.8166
gin_kankan,2022-04-25,6.6779,4.8122
gin_kankan,2022-04-26,6.4935,5.3121
gin_kankan,2022-04-27,5.9378,4.3494
gin_kankan,2022-04-28,4.9261,2.1088
gin_kankan,2022-04-29,6.6636,5.8775
gin_kankan,2022-04-30,6.4024,5.7682
gin_kankan,2022-05-01,5.8792,4.4213
gin_kankan,2022-05-02,5.6027,3.7229
gin_kankan,2022-05-03,4.8667,1.7247
gin_kankan,2022-05-04,6.9499,6.2422
gin_kankan,2022-05-05,5.8259,3.148
gin_kankan,2022-05-06,4.0236,1.6277
gin_kankan,2022-05-07,6.7235,5.6702
gin_kankan,2022-05-08,5.3594,1.907
gin_kankan,2022-05-09,6.3397,3.1281
gin_kankan,2022-05-10,5.2353,2.2111
gin_kankan,2022-05-11,6.1388,4.3879
gin_kankan,2022-05-12,6.5734,5.2634
gin_kankan,2022-05-13,4.3496,1.6788
gin_kankan,2022-05-14,5.6628,3.0375
gin_kankan,2022-05-15,6.094,3.6123
gin_kankan,2022-05-16,5.9561,3.3192
gin_kankan,2022-05-17,5.5766,2.3514
gin_kankan,2022-05-18,6.1423,3.8055
gin_kankan,2022-05-19,6.5591,4.9241
gin_kankan,2022-05-20,6.4466,4.5084
gin_kankan,2022-05-21,3.7418,0.7341
gin_kankan,2022-05-22,4.5554,1.2223
gin_kankan,2022-05-23,4.313,2.6858
gin_kankan,2022-05-24,3.7866,2.0716
gin_kankan,2022-05-25,4.64,1.6872
gin_kankan,2022-05-26,6.0827,3.9412
gin_kankan,2022-05-27,1.676,0.0185
gin_kankan,2022-05-28,6.8277,5.7073
gin_kankan,2022-05-29,6.5245,3.6774
gin_kankan,2022-05-30,5.2394,2.1693
gin_kankan,2022-05-31,6.7805,5.1067
gin_kankan,2022-06-01,6.0979,3.3279
gin_kankan,2022-06-02,6.7236,5.3068
gin_kankan,2022-06-03,5.5961,3.9146
gin_kankan,2022-06-04,4.1331,0.4522
gin_kankan,2022-06-05,6.0963,3.8532
gin_kankan,2022-06-06,5.2851,3.4447
gin_kankan,2022-06-07,5.5279,1.9876
gin_kankan,2022-06-08,6.7619,6.428
gin_kankan,2022-06-09,6.4314,4.2889
gin_kankan,2022-06-10,6.8896,5.7994
gin_kankan,2022-06-11,6.0022,3.5145
gin_kankan,2022-06-12,5.2261,2.5842
gin_kankan,2022-06-13,2.3527,0.3685
gin_kankan,2022-06-14,4.6984,1.5621
gin_kankan,2022-06-15,5.8513,2.7134
gin_kankan,2022-06-16,3.3114,0.1577
gin_kankan,2022-06-17,4.8162,2.0244
gin_kankan,2022-06-18,3.815,1.0572
gin_kankan,2022-06-19,6.5396,5.3148
gin_kankan,2022-06-20,2.6776,1.3108
gin_kankan,2022-06-21,5.3202,3.444
gin_kankan,2022-06-22,6.0245,4.3473
gin_kankan,2022-06-23,6.8003,5.5158
gin_kankan,2022-06-24,6.2878,5.2795
gin_kankan,2022-06-25,3.1571,0.5364
gin_kankan,2022-06-26,4.2169,0.4953
gin_kankan,2022-06-27,6.0189,4.2373
gin_kankan,2022-06-28,5.0564,3.0765
gin_kankan,2022-06-29,6.8606,6.3914
gin_kankan,2022-06-30,5.2044,2.4181
gin_kankan,2022-07-01,5.2716,2.4776
gin_kankan,2022-07-02,2.04,0.2669
gin_kankan,2022-07-03,3.2304,0.188
gin_kankan,2022-07-04,5.4466,3.2734
gin_kankan,2022-07-05,4.6046,1.8144
gin_kankan,2022-07-06,5.4427,2.7883
gin_kankan,2022-07-07,6.3013,4.7108
gin_kankan,2022-07-08,5.6065,3.2629
gin_kankan,2022-07-09,3.6552,0.4477
gin_kankan,2022-07-10,5.4369,2.4239
gin_kankan,2022-07-11,4.5906,1.9201
gin_kankan,2022-07-12,7.1596,6.6022
gin_kankan,2022-07-13,5.9783,4.1581
gin_kankan,2022-07-14,5.8944,3.0378
gin_kankan,2022-07-15,6.4228,4.1986
gin_kankan,2022-07-16,5.253,2.002
gin_kankan,2022-07-17,3.8991,0.5557
gin_kankan,2022-07-18,6.0331,4.0108
gin_kankan,2022-07-19,2.8278,0.1607
gin_kankan,2022-07-20,3.3403,0.3824
gin_kankan,2022-07-21,5.1016,2.2832
gin_kankan,2022-07-22,5.1372,3.2901
gin_kankan,2022-07-23,4.5853,1.8842
gin_kankan,2022-07-24,2.0962,0.0253
gin_kankan,2022-07-25,5.7022,2.8243
gin_kankan,2022-07-26,4.7748,1.8539
gin_kankan,2022-07-27,3.3086,0.2463
gin_kankan,2022-07-28,6.1818,3.2787
gin_kankan,2022-07-29,3.865,0.659
gin_kankan,2022-07-30,5.5721,2.8007
gin_kankan,2022-07-31,5.7916,3.7656
gin_kankan,2022-08-01,3.6137,0.7273
gin_kankan,2022-08-02,6.8393,5.8975
gin_kankan,2022-08-03,6.4434,4.3795
gin_kankan,2022-08-04,4.9636,1.8957
gin_kankan,2022-08-05,3.711,1.153
gin_kankan,2022-08-06,5.9266,3.9265
gin_kankan,2022-08-07,6.0423,4.7517
gin_kankan,2022-08-08,5.3101,2.8162
gin_kankan,2022-08-09,3.3962,0.3785
gin_kankan,2022-08-10,3.0865,1.1014
gin_kankan,2022-08-11,6.3338,4.3119
gin_kankan,2022-08-12,5.2143,2.2927
gin_kankan,2022-08-13,4.3028,0.7857
gin_kankan,2022-08-14,3.3514,0.7479
gin_kankan,2022-08-15,5.3347,2.9341
gin_kankan,2022-08-16,1.814,0.01
gin_kankan,2022-08-17,4.4383,1.2803
gin_kankan,2022-08-18,5.2804,2.463
gin_kankan,2022-08-19,6.2293,4.9621
gin_kankan,2022-08-20,2.4038,0.0383
gin_kankan,2022-08-21,5.3144,2.4128
gin_kankan,2022-08-22,4.9792,3.0674
gin_kankan,2022-08-23,5.511,3.0185
gin_kankan,2022-08-24,5.8414,3.6307
gin_kankan,2022-08-25,4.902,1.3194
gin_kankan,2022-08-26,4.8947,2.7997
gin_kankan,2022-08-27,3.2272,0.3335
gin_kankan,2022-08-28,5.5501,2.7027
gin_kankan,2022-08-29,5.3583,2.6138
gin_kankan,2022-08-30,2.1097,0.0286
gin_kankan,2022-08-31,4.2867,1.6709
gin_kankan,2022-09-01,2.8869,0.3829
gin_kankan,2022-09-02,4.7706,1.9156
gin_kankan,2022-09-03,5.4106,2.5135
gin_kankan,2022-09-04,3.8997,1.54
gin_kankan,2022-09-05,5.9135,4.7203
gin_kankan,2022-09-06,5.2853,2.3747
gin_kankan,2022-09-07,5.3092,2.9245
gin_kankan,2022-09-08,7.1713,5.4627
gin_kankan,2022-09-09,3.1911,0.1148
gin_kankan,2022-09-10,3.9814,0.6689
gin_kankan,2022-09-11,5.4139,3.5942
gin_kankan,2022-09-12,5.9512,4.6142
gin_kankan,2022-09-13,4.5316,0.8747
gin_kankan,2022-09-14,4.7901,1.8591
gin_kankan,2022-09-15,6.8224,6.3201
gin_kankan,2022-09-16,6.2089,4.3854
gin_kankan,2022-09-17,3.7697,2.7008
gin_kankan,2022-09-18,5.2459,1.9728
gin_kankan,2022-09-19,5.3441,2.8486
